longitude,latitude,B2,B3,B4,B8,B11,B12,NDVI,VV,VH,VV_minus_VH,agbd
-59.67227708879694,-2.709431186314992,405.5,615,363,3179,1830,810.5,0.7950310707092285,-6.550210016508771,-12.933644766679526,6.383434750170755,118.61906433105469
-60.076069809008665,-3.87769021331243,354,501,315,3018.5,1528,644,0.8110094666481018,-7.938178552314646,-14.755991381199664,6.8178128288850175,146.568039
-60.24338103067593,-2.9764554045195197,276.5,403.5,234.5,2616,1326,538.5,0.8354674577713013,-6.9588929215083875,-13.39746879881904,6.438575877310652,61.99793243408203
-60.060798449178634,-3.7954943648154935,353,537.5,325,2989,1652,685,0.8038623929023743,-8.790948276897385,-14.521384329960878,5.730436053063492,150.574692
-59.66329393595575,-2.8376656931230535,389,549,309,3187,1693,712,0.8232265710830688,-7.832007519683745,-14.080330925144207,6.248323405460462,177.176117
-60.2101433651635,-3.931139972717541,354,499,376,2296,1643,769,0.71856290102005,-9.671736690793962,-16.10973020312953,6.437993512335568,159.61293029785156
-60.7354332275524,-2.7943219806642867,304.5,472.5,276,3374.5,1511,609,0.8487878441810608,-8.018738110286028,-13.698837167586559,5.680099057300531,40.223655700683594
-60.3228819333205,-3.8660121146188757,326,526.5,317.5,2920,1615.5,652.5,0.8038610219955444,-7.863312782126214,-14.781657239073434,6.91834445694722,167.547897
-59.72527769055999,-3.456829502702434,367,577.5,302.5,3725,1709,662.5,0.8497827649116516,-6.125865909113475,-13.532725897732893,7.406859988619418,42.76167297363281
-59.85598256439938,-2.82553843678744,327,560,327,3160,1659,701.5,0.8124462366104126,-6.562192864645622,-11.2338863289934,4.671693464347777,102.87662506103516
-60.657953534297086,-3.48243148829984,316.5,497.5,303,2888.5,1743,827.5,0.8101206421852112,-7.743657688123971,-13.638901421731614,5.895243733607643,103.38158416748047
-60.16522760095753,-2.283405162821309,252,456,243.5,2968,1421,549,0.8483574390411377,-8.344216912323468,-14.472310423811283,6.1280935114878154,43.964119
-59.38526535552076,-2.952874628311382,279.5,509.5,279,3181,1664,683.5,0.8387283086776733,-7.680517460290557,-14.748816838073074,7.068299377782517,28.411001205444336
-59.99724264282718,-3.328594995894372,684,955,793,3503.5,2952,1672.5,0.6308623552322388,-10.788398666742093,-15.549423740298547,4.761025073556453,1.4534660577774048
-60.87893909419049,-2.8509158435638167,255.5,387.5,215,2447.5,1253.5,504,0.8384976387023926,-8.811501862096852,-16.150807983505707,7.339306121408855,171.400894
-59.74773557266298,-2.6101673474197846,345.5,559.5,310,3186.5,1472.5,596,0.8226798176765442,-7.895174162656591,-13.7962166203987,5.9010424577421094,151.867218
-60.54633786024524,-3.775956007385894,234.5,342,206.5,2123.5,1201.5,474.5,0.822746753692627,-11.078885047206267,-17.381863906340453,6.3029788591341855,253.567215
-60.27639411736732,-2.5749084725180937,261,395,226,2431,1283,516,0.829883337020874,-13.22690950418584,-19.62200545164431,6.3950959474584685,172.061493
-59.597492341393995,-2.7970169265166454,339.5,521.5,291,3108.5,1671.5,666,0.8287983536720276,-7.186099332070871,-12.601615847114909,5.415516515044038,56.409328
-60.175782805545936,-4.018051976456105,362,538.5,363,2867,1592,682,0.775232195854187,-7.607301715390941,-14.086743626590195,6.479441911199254,231.709167
-59.76031198664066,-3.5924751106044814,313,495,302,2955,1539,639,0.8145532608032227,-7.921801439464566,-13.165884548922659,5.244083109458092,156.67066955566406
-60.659525586044296,-3.7919011036790153,261.5,417.5,255,2832,1406,587,0.8347910642623901,-6.545402750686201,-14.670339281217275,8.124936530531073,174.159058
-60.38756063377711,-2.846199688322189,315.5,470.5,272,2812.5,1488,597,0.8236343264579773,-6.693026288918049,-12.776521207981336,6.083494919063287,153.208649
-59.88068623471267,-3.2603230343012886,367,553,382,3074,2176,1044,0.7789351940155029,-6.9433239637195285,-12.8011768587643,5.857852895044772,7.894373893737793
-61.04333079118436,-3.2160810065584022,522,595.5,594,1517,2220.5,1446,0.4372335374355316,-9.910260167414254,-15.955897214523652,6.045637047109398,10.881855964660645
-59.83195263054919,-2.6952827205901095,379,539,335,2899,1686,712,0.792826235294342,-6.383222989929159,-12.778090451813338,6.3948674618841785,195.47579956054688
-60.31367420165828,-2.728071228460472,260,420,242,2641,1330,545,0.832119345664978,-7.923762953857279,-12.327647181610477,4.403884227753197,136.039612
